UniversityLabel,AlumnusLabel,EmployerLabel,BirthPlaceLabel,ULocationLabel,OccupationLabel,DateOfDeathLabel,DateOfBirthLabel,FoundationDateLabel,ELocationLabel
University of Gothenburg,Otto J. Maenchen-Helfen,"University of California, Berkeley",Vienna,Gothenburg Municipality,historian,1969-01-29T00:00:00Z,1894-07-26T00:00:00Z,1954-07-01T00:00:00Z,Berkeley
University of Gothenburg,Otto J. Maenchen-Helfen,"University of California, Berkeley",Vienna,Gothenburg Municipality,university teacher,1969-01-29T00:00:00Z,1894-07-26T00:00:00Z,1954-07-01T00:00:00Z,Berkeley
University of Gothenburg,Otto J. Maenchen-Helfen,University of California,Vienna,Gothenburg Municipality,historian,1969-01-29T00:00:00Z,1894-07-26T00:00:00Z,1954-07-01T00:00:00Z,Oakland
University of Gothenburg,Otto J. Maenchen-Helfen,University of California,Vienna,Gothenburg Municipality,university teacher,1969-01-29T00:00:00Z,1894-07-26T00:00:00Z,1954-07-01T00:00:00Z,Oakland
University of Gothenburg,Otto J. Maenchen-Helfen,Marx-Engels-Lenin Institute,Vienna,Gothenburg Municipality,historian,1969-01-29T00:00:00Z,1894-07-26T00:00:00Z,1954-07-01T00:00:00Z,Moscow
University of Gothenburg,Otto J. Maenchen-Helfen,Marx-Engels-Lenin Institute,Vienna,Gothenburg Municipality,university teacher,1969-01-29T00:00:00Z,1894-07-26T00:00:00Z,1954-07-01T00:00:00Z,Moscow
Stockholm University,Erik Ivar Fredholm,Stockholm University,Stockholm,Stockholm Municipality,mathematician,1927-08-17T00:00:00Z,1866-05-07T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Erik Ivar Fredholm,Stockholm University,Klara Parish,Stockholm Municipality,mathematician,1927-08-17T00:00:00Z,1866-05-07T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Erik Ivar Fredholm,Stockholm University,Stockholm,Stockholm Municipality,university teacher,1927-08-17T00:00:00Z,1866-05-07T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Erik Ivar Fredholm,Stockholm University,Klara Parish,Stockholm Municipality,university teacher,1927-08-17T00:00:00Z,1866-05-07T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Torbjörn Caspersson,Karolinska Institute,Motala,Stockholm Municipality,biologist,1997-12-07T00:00:00Z,1910-10-15T00:00:00Z,1878-01-01T00:00:00Z,Solna Municipality
Stockholm University,Torbjörn Caspersson,Karolinska Institute,Motala,Stockholm Municipality,university teacher,1997-12-07T00:00:00Z,1910-10-15T00:00:00Z,1878-01-01T00:00:00Z,Solna Municipality
Stockholm University,Torbjörn Caspersson,Karolinska Institute,Motala,Stockholm Municipality,geneticist,1997-12-07T00:00:00Z,1910-10-15T00:00:00Z,1878-01-01T00:00:00Z,Solna Municipality
Karolinska Institute,Carl Gustaf Mosander,Karolinska Institute,Kalmar,Solna Municipality,chemist,1858-10-15T00:00:00Z,1797-09-10T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Karolinska Institute,Carl Gustaf Mosander,Karolinska Institute,Kalmar,Solna Municipality,surgeon,1858-10-15T00:00:00Z,1797-09-10T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Karolinska Institute,Carl Gustaf Mosander,Karolinska Institute,Kalmar,Solna Municipality,university teacher,1858-10-15T00:00:00Z,1797-09-10T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Stockholm University,Harald Cramér,Stockholm University,Stockholm,Stockholm Municipality,mathematician,1985-10-05T00:00:00Z,1893-09-25T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Harald Cramér,Stockholm University,Stockholm,Stockholm Municipality,actuary,1985-10-05T00:00:00Z,1893-09-25T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Harald Cramér,Stockholm University,Stockholm,Stockholm Municipality,university teacher,1985-10-05T00:00:00Z,1893-09-25T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Royal Institute of Technology,Erik Ivar Fredholm,Stockholm University,Stockholm,Stockholm Municipality,mathematician,1927-08-17T00:00:00Z,1866-05-07T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Royal Institute of Technology,Erik Ivar Fredholm,Stockholm University,Klara Parish,Stockholm Municipality,mathematician,1927-08-17T00:00:00Z,1866-05-07T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Royal Institute of Technology,Erik Ivar Fredholm,Stockholm University,Stockholm,Stockholm Municipality,university teacher,1927-08-17T00:00:00Z,1866-05-07T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Royal Institute of Technology,Erik Ivar Fredholm,Stockholm University,Klara Parish,Stockholm Municipality,university teacher,1927-08-17T00:00:00Z,1866-05-07T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Germund Dahlquist,Stockholm University,Uppsala,Stockholm Municipality,computer scientist,2005-02-08T00:00:00Z,1925-01-16T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Germund Dahlquist,Stockholm University,Uppsala,Stockholm Municipality,mathematician,2005-02-08T00:00:00Z,1925-01-16T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Germund Dahlquist,Stockholm University,Uppsala,Stockholm Municipality,university teacher,2005-02-08T00:00:00Z,1925-01-16T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Germund Dahlquist,Royal Institute of Technology,Uppsala,Stockholm Municipality,computer scientist,2005-02-08T00:00:00Z,1925-01-16T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Germund Dahlquist,Royal Institute of Technology,Uppsala,Stockholm Municipality,mathematician,2005-02-08T00:00:00Z,1925-01-16T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Germund Dahlquist,Royal Institute of Technology,Uppsala,Stockholm Municipality,university teacher,2005-02-08T00:00:00Z,1925-01-16T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
